zone_id,zone_name,predicted_demand_12pm,avg_profit,avg_service_time,vehicles_N50,vehicles_N100,vehicles_N200
11,Bath Beach,0.7861391375372468,5.80866537068958,17.804347826086957,0,0,30
14,Bay Ridge,7.322297995673891,5.80866537068958,17.804347826086957,2,2,3
17,Bedford,11.620185613295233,5.754416666666667,17.961111111111112,3,3,4
21,Bensonhurst East,2.799648386947021,2.983000000000001,8.933333333333334,0,0,1
22,Bensonhurst West,6.111878476579959,3.4692500000000006,23.23333333333333,0,0,3
25,Boerum Hill,24.882621066550428,5.055333333333334,15.383333333333333,6,6,7
26,Borough Park,6.03180130520032,4.59975,9.733333333333333,1,1,1
29,Brighton Beach,4.464689909067117,2.163,7.55,0,0,1
33,Brooklyn Heights,37.44260923368128,14.962125000000006,50.09166666666666,0,31,32
34,Brooklyn Navy Yard,0.2537254417051208,5.80866537068958,17.804347826086957,0,0,1
35,Brownsville,5.739968902964273,2.571333333333334,6.566666666666666,0,0,1
36,Bushwick North,2.73577192652567,4.054666666666667,12.044444444444444,0,0,1
37,Bushwick South,4.521404831642053,6.142308899592942,23.7875,0,1,2
39,Canarsie,7.0099488318776535,3.94175,11.837499999999999,1,1,2
40,Carroll Gardens,8.645191346491213,7.484125,24.883333333333333,0,3,4
49,Clinton Hill,7.954193931385616,7.030000000000001,30.383333333333333,0,0,5
52,Cobble Hill,13.94925417228803,3.2940000000000005,11.7,0,2,3
54,Columbia Street,0.8685782852997461,3.487710440003781,7.316666666666666,0,0,1
55,Coney Island,4.288708031910989,5.80866537068958,17.804347826086957,1,1,2
61,Crown Heights North,15.45759622151422,4.196464285714286,15.157142857142857,0,3,4
62,Crown Heights South,3.97514743887,4.961000000000002,22.816666666666663,0,0,2
63,Cypress Hills,1.9946697315766608,6.708374999999999,18.741666666666664,0,0,1
65,Downtown Brooklyn/MetroTech,32.767617278199666,13.048227385120743,19.79,11,11,11
66,DUMBO/Vinegar Hill,11.820525603708784,3.2775,10.933333333333334,0,2,3
67,Dyker Heights,1.4784554976645083,2.661500000000001,8.966666666666667,0,0,1
71,East Flatbush/Farragut,5.353767491539864,6.577000000000005,46.66666666666666,0,0,5
72,East Flatbush/Remsen Village,5.375049907722471,2.6385,6.616666666666666,0,0,1
76,East New York,12.915456121742256,7.1330625,18.9375,4,4,5
77,East New York/Pennsylvania Avenue,2.6159118452304515,5.80866537068958,17.804347826086957,0,0,1
80,East Williamsburg,3.0794085344553066,5.132375000000001,16.21388888888889,0,1,1
85,Erasmus,5.810112964203543,5.80866537068958,17.804347826086957,1,1,2
89,Flatbush/Ditmas Park,8.205891985075061,3.7886666666666673,10.983333333333334,1,1,2
91,Flatlands,6.169885853583731,5.3245000000000005,17.625,0,1,2
97,Fort Greene,28.497460979784023,4.272000000000001,13.158333333333331,6,6,7
106,Gowanus,2.681151403454418,4.113999999999999,13.283333333333331,0,0,1
108,Gravesend,3.3796386073541336,5.80866537068958,17.804347826086957,1,1,2
111,Green-Wood Cemetery,0.0282952973987074,2.9564999999999992,5.383333333333334,0,0,1
112,Greenpoint,3.786251342058054,6.436496553227734,28.100000000000005,0,0,2
123,Homecrest,3.5822161564205164,4.6645,9.816666666666666,0,1,1
133,Kensington,2.750618823692184,5.80866537068958,17.804347826086957,0,1,1
149,Madison,3.2968083973133213,12.09005834215038,24.333333333333332,1,1,2
150,Manhattan Beach,1.5166886364818437,3.2940000000000014,9.5,0,0,1
154,Marine Park/Floyd Bennett Field,0.1954610306881022,5.80866537068958,17.804347826086957,0,0,1
155,Marine Park/Mill Basin,3.3135392591914283,3.723500000000002,7.466666666666667,0,0,1
165,Midwood,6.700600198584287,5.2845,13.116666666666667,1,1,2
177,Ocean Hill,3.61777963433221,7.228875,29.491666666666667,0,0,2
178,Ocean Parkway South,2.120760123483058,5.80866537068958,17.804347826086957,0,0,1
181,Park Slope,23.401726308426205,3.8982777777777784,9.633333333333333,4,4,4
188,Prospect-Lefferts Gardens,9.526158228192203,5.601083333333334,18.711111111111112,0,3,3
189,Prospect Heights,5.616671685113239,3.640000000000001,11.3,1,1,2
190,Prospect Park,0.2567070836394975,5.80866537068958,17.804347826086957,0,0,1
195,Red Hook,2.3728513674643925,3.5815,7.633333333333334,0,0,1
210,Sheepshead Bay,5.4796868221699135,2.787,10.016666666666667,0,0,1
217,South Williamsburg,2.709147007317714,8.214499999999997,28.05,0,1,2
222,Starrett City,3.313518313947521,15.846784380816324,83.38333333333334,0,0,5
225,Stuyvesant Heights,7.357317181874623,9.133,24.816666666666663,3,3,4
227,Sunset Park East,2.699824615211464,6.151624999999999,27.48333333333333,0,0,2
228,Sunset Park West,3.538973155073464,6.387499999999999,16.483333333333334,1,1,1
255,Williamsburg (North Side),3.779102849767777,8.34275,24.08888888888889,1,1,2
256,Williamsburg (South Side),2.389828628283801,4.608900000000001,12.313333333333333,0,0,1
257,Windsor Terrace,3.052716971060664,4.902,10.933333333333334,0,0,1
