dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag,observed_duration_min,estimated_distance,estimated_od_duration_min,distance_source,distance,duration_min,datetime_hour,hour,weekday,is_weekend,temperature,precipitation,snow_indicator,wind_speed,visibility,taxi_reference_price,estimated_cost,fhv_price,estimated_profit,estimated_profit_rate
B02510,2019-01-06 22:05:21,2019-01-06 22:13:12,256,112,,7.85,1.56,7.666666666666667,historical_median,1.56,7.85,2019-01-06 22:00:00,22,6,1,36.0,0.0,0,13.6,10.0,10.280531990962947,5.956999999999999,9.46,3.503000000000002,0.5880476750041972
B02876,2019-01-07 08:41:07,2019-01-07 08:57:46,63,132,,16.65,6.005,12.841666666666669,historical_median,6.005,16.65,2019-01-07 08:00:00,8,0,0,24.4,0.0,0,3.7,10.0,23.875124186960782,12.65275,21.97,9.31725,0.7363814190590978
B02764,2019-01-07 15:47:12,2019-01-07 16:01:05,37,37,,13.883333333333333,0.87,5.95,historical_median,0.87,13.883333333333333,2019-01-07 15:00:00,15,0,0,32.7,0.0,0,8.0,10.0,11.57686280937405,6.249499999999999,10.65,4.400500000000001,0.7041363309064728
B02878,2019-01-07 20:32:27,2019-01-07 20:42:11,26,165,,9.733333333333333,2.755,19.433333333333334,historical_median,2.755,9.733333333333333,2019-01-07 20:00:00,20,0,0,31.0,0.0,0,3.5,10.0,13.375582956007394,7.670249999999999,12.31,4.639750000000001,0.6049020566474367
B01288,2019-01-08 08:42:00,2019-01-08 09:38:00,37,140,,56.0,7.86,50.23333333333333,historical_median,7.86,56.0,2019-01-08 08:00:00,8,1,0,41.0,0.004,0,7.4,10.0,37.32019049557724,21.869,34.33,12.460999999999999,0.5698020028350632
B02867,2019-01-08 14:20:33,2019-01-08 14:48:49,91,228,,28.266666666666666,6.62,22.883333333333333,historical_median,6.62,28.266666666666666,2019-01-08 14:00:00,14,1,0,45.7,0.004,0,4.9,10.0,25.548484866085385,15.451,23.5,8.049,0.5209371561711216
B02764,2019-01-08 20:34:47,2019-01-08 20:42:25,195,52,,7.633333333333334,1.43,8.291666666666668,historical_median,1.43,7.633333333333334,2019-01-08 20:00:00,20,1,0,40.8,0.0,0,2.6,10.0,10.293097449584534,5.7685,9.47,3.7015000000000002,0.6416746121175348
B02764,2019-01-09 07:35:55,2019-01-09 07:52:54,177,76,,16.983333333333334,3.56,18.516666666666666,historical_median,3.56,16.983333333333334,2019-01-09 07:00:00,7,2,0,39.0,0.0,0,19.5,10.0,15.973892075562086,9.901,14.7,4.7989999999999995,0.48469851530148467
B02870,2019-01-09 13:01:27,2019-01-09 13:12:05,89,165,2.0,10.633333333333333,1.72,9.45,historical_median,1.72,10.633333333333333,2019-01-09 13:00:00,13,2,0,44.8,0.0,0,22.6,10.0,10.510740308476905,6.642,9.67,3.0279999999999996,0.45588678109003306
B02682,2019-01-09 19:53:57,2019-01-09 20:08:06,65,61,,14.15,2.82,16.683333333333334,historical_median,2.82,14.15,2019-01-09 19:00:00,19,2,0,38.8,0.0,0,15.8,10.0,15.042601049745988,8.54,13.84,5.300000000000001,0.620608899297424
B02888,2019-01-10 02:34:40,2019-01-10 02:39:29,89,71,,4.816666666666666,1.9,13.325,historical_median,1.9,4.816666666666666,2019-01-10 02:00:00,2,3,0,30.9,0.0,0,16.0,10.0,10.199765706572808,5.802,9.38,3.578000000000001,0.6166839021027234
B01288,2019-01-10 11:18:00,2019-01-10 12:00:00,177,79,,42.0,7.975,45.5,historical_median,7.975,42.0,2019-01-10 11:00:00,11,3,0,33.1,0.0,0,22.5,10.0,31.80529848485917,19.48125,29.26,9.778750000000002,0.5019570099454606
B02617,2019-01-10 17:06:43,2019-01-10 17:18:58,25,181,,12.25,1.41,8.033333333333333,historical_median,1.41,12.25,2019-01-10 17:00:00,17,3,0,32.8,0.0,0,19.7,10.0,11.98594999546302,6.576499999999999,11.03,4.4535,0.6771839124154186
B02869,2019-01-10 21:06:22,2019-01-10 21:27:12,63,35,1.0,20.83333333333333,2.87,18.141666666666666,historical_median,2.87,20.83333333333333,2019-01-10 21:00:00,21,3,0,30.5,0.0,0,11.4,10.0,17.422899761250576,9.8005,14.43,4.6295,0.4723738584766084
B02764,2019-01-11 07:49:58,2019-01-11 07:56:55,61,17,,6.95,1.3,7.766666666666667,historical_median,1.3,6.95,2019-01-11 07:00:00,7,4,0,22.7,0.0,0,13.1,10.0,8.639889765945506,5.496,7.95,2.4539999999999997,0.4465065502183405
B02864,2019-01-11 12:03:12,2019-01-11 12:12:42,150,123,,9.5,2.44,13.966666666666669,historical_median,2.44,9.5,2019-01-11 12:00:00,12,4,0,26.8,0.0,0,18.2,10.0,11.749156626010924,7.265999999999999,10.81,3.5440000000000014,0.48775116983209493
B02871,2019-01-11 17:34:23,2019-01-11 18:00:47,25,112,,26.4,4.76,17.983333333333334,historical_median,4.76,26.4,2019-01-11 17:00:00,17,4,0,28.7,0.0,0,16.1,10.0,22.625849641520816,12.976,20.82,7.843999999999999,0.6045006165228113
B02510,2019-01-11 21:35:30,2019-01-11 21:43:26,76,39,1.0,7.933333333333334,2.89,14.116666666666667,historical_median,2.89,7.933333333333334,2019-01-11 21:00:00,21,4,0,25.0,0.0,0,8.6,10.0,13.888822213040054,7.501499999999999,11.5,3.998500000000001,0.533026727987736
B02765,2019-01-12 01:04:36,2019-01-12 01:11:55,54,97,,7.316666666666666,1.821990921735843,6.458738452819701,centroid_fallback,1.821990921735843,7.316666666666666,2019-01-12 01:00:00,1,5,1,22.2,0.0,0,8.0,10.0,10.577550888142817,6.16228955999622,9.73,3.56771044000378,0.5789585843489589
B02882,2019-01-12 10:05:49,2019-01-12 10:13:19,25,181,,7.5,1.41,8.033333333333333,historical_median,1.41,7.5,2019-01-12 10:00:00,10,5,1,24.4,0.0,0,3.8,10.0,9.1597006281089,5.721499999999999,8.43,2.708500000000001,0.4733898453202834
B02880,2019-01-12 15:48:33,2019-01-12 15:59:20,97,49,,10.783333333333331,1.13,6.983333333333333,historical_median,1.13,10.783333333333331,2019-01-12 15:00:00,15,5,1,34.2,0.0,0,4.1,10.0,9.812695487609462,5.9905,9.03,3.0394999999999994,0.5073866956013687
