model,MAE,RMSE,SMAPE
zone_weekday_hour_mean,1.9820452771272443,3.773269845160738,0.6586514074173366
recent_week_same_hour,2.391881342701015,4.617851354464345,0.6353994016945611
zone_hour_mean,2.4177481785063755,5.2138362810206775,0.8414181151951022
