zone_id,zone_name,predicted_demand_12pm,avg_profit,weight,assigned_base_id,assigned_base_name,dispatch_time_min
11,Bath Beach,0.745565033370428,5.849361022863494,4.361079046206902,111,Green-Wood Cemetery,16.62817204394225
14,Bay Ridge,7.341706281548541,5.849361022863494,42.94429056460211,111,Green-Wood Cemetery,12.88257863990492
17,Bedford,12.202167085746538,5.601083333333334,68.34535469452352,111,Green-Wood Cemetery,15.866416350580357
21,Bensonhurst East,2.822701005736524,2.993000000000001,8.44834411016942,111,Green-Wood Cemetery,17.86849265645825
22,Bensonhurst West,6.465768028453207,3.4792500000000004,22.49602341299582,111,Green-Wood Cemetery,14.133161018506222
25,Boerum Hill,25.960084118629105,5.002,129.85234076138278,33,Brooklyn Heights,5.866666666666666
26,Borough Park,6.098383669369557,4.639750000000001,28.29497562995741,111,Green-Wood Cemetery,7.134453408112484
29,Brighton Beach,4.618268197974807,2.213,10.220227522118249,222,Starrett City,19.116666666666667
33,Brooklyn Heights,38.50316475293453,15.327125000000006,590.1428190638219,33,Brooklyn Heights,4.033333333333333
34,Brooklyn Navy Yard,0.240586001509577,5.849361022863494,1.4072743798766976,33,Brooklyn Heights,10.3
35,Brownsville,5.792965279038185,2.4046666666666665,13.930150507660489,222,Starrett City,15.65
36,Bushwick North,2.5579644140336937,4.128,10.559277101131087,111,Green-Wood Cemetery,23.132399297103333
37,Bushwick South,4.539136458158642,6.206058899592942,28.170148212622223,111,Green-Wood Cemetery,21.04191793668173
39,Canarsie,7.028618253948109,3.849250000000001,27.054908814009764,222,Starrett City,9.966666666666669
40,Carroll Gardens,9.1495816632488,7.459125000000001,68.24787332388071,33,Brooklyn Heights,5.866666666666666
49,Clinton Hill,7.975525574990453,7.199999999999999,57.42378413993126,33,Brooklyn Heights,13.283333333333331
52,Cobble Hill,14.450654917066467,3.274000000000001,47.31144419847563,33,Brooklyn Heights,4.466666666666667
54,Columbia Street,0.8373578803924049,3.56771044000378,2.9874504518954192,33,Brooklyn Heights,5.833333333333333
55,Coney Island,4.173798336670656,5.849361022863494,24.41405330781382,222,Starrett City,21.866666666666667
61,Crown Heights North,15.933919575156963,4.232178571428571,67.43519298484554,111,Green-Wood Cemetery,15.067599022972455
62,Crown Heights South,3.897183612393216,4.891000000000002,19.061125048215228,111,Green-Wood Cemetery,11.519846471402053
63,Cypress Hills,1.983265885217715,6.973375,13.830056742330083,222,Starrett City,14.366666666666667
65,Downtown Brooklyn/MetroTech,33.66430664474652,13.66222738512074,459.929412142958,33,Brooklyn Heights,6.2
66,DUMBO/Vinegar Hill,12.528412224159826,3.2675,40.93658694244223,33,Brooklyn Heights,6.041666666666666
67,Dyker Heights,1.4681979582336946,2.7315000000000014,4.010382722915339,111,Green-Wood Cemetery,12.781079661732274
71,East Flatbush/Farragut,5.3636028078170845,6.527000000000001,35.008235526622116,111,Green-Wood Cemetery,13.64981824535734
72,East Flatbush/Remsen Village,5.711714589658509,2.7185,15.527296111986658,111,Green-Wood Cemetery,16.754898346089313
76,East New York,13.477457842179929,7.3655625,99.2690580776914,222,Starrett City,9.641666666666666
77,East New York/Pennsylvania Avenue,2.5977612774678205,5.849361022863494,15.195243563124349,222,Starrett City,11.516666666666666
80,East Williamsburg,3.0080738292691565,5.0957083333333335,15.328266879088751,33,Brooklyn Heights,14.275
85,Erasmus,6.042475914545943,5.849361022863494,35.34462309613648,111,Green-Wood Cemetery,9.672183153843935
89,Flatbush/Ditmas Park,8.27333798591732,3.748666666666667,31.013986329875397,111,Green-Wood Cemetery,8.60610345304485
91,Flatlands,6.206073151157904,5.3995,33.5096919796771,111,Green-Wood Cemetery,16.832756681774743
97,Fort Greene,29.831216064802987,4.2620000000000005,127.14064286819034,33,Brooklyn Heights,10.283333333333331
106,Gowanus,2.622867715503946,4.154,10.895392490203392,111,Green-Wood Cemetery,6.602683706865295
108,Gravesend,3.441056130829438,5.849361022863494,20.12797960915918,222,Starrett City,20.0
111,Green-Wood Cemetery,0.0274674365258816,2.886499999999999,0.07928475553195721,111,Green-Wood Cemetery,2.304171741060667
112,Greenpoint,3.8253396779684383,6.376496553227734,24.392265271491038,33,Brooklyn Heights,17.28333333333333
123,Homecrest,3.572505789499097,4.5845,16.37815279195861,111,Green-Wood Cemetery,18.52787261729186
133,Kensington,2.767953938427828,5.849361022863494,16.19076188052124,111,Green-Wood Cemetery,5.211629386278911
149,Madison,3.368600458684325,11.916725008817046,40.14268533071607,111,Green-Wood Cemetery,18.521092434302293
150,Manhattan Beach,1.417548789534279,3.5440000000000014,5.023792910109487,222,Starrett City,17.466666666666665
154,Marine Park/Floyd Bennett Field,0.197328374047944,5.849361022863494,1.154244899861072,222,Starrett City,8.283333333333333
155,Marine Park/Mill Basin,3.154745087805411,3.693500000000002,11.652050981809293,222,Starrett City,16.333333333333336
165,Midwood,6.752419312739973,5.3345,36.020780823811386,111,Green-Wood Cemetery,12.697169592250829
